framenr,kanji,keyword,public,last_edited,story
718,提,"propose",0,2017-03-24 17:32:49,"I tried to propose to my girlfriend, but the ring was too small to fit her *finger*. Instead of saying yes, she just uttered an annoyed sigh. So I rushed to the jeweler where he made it bigger. But now it was too big, so I rushed back to make it smaller. This spiel kept going on until the ring was finally *just so*. Her eyes lit up and she said yes."
719,損,"damage",0,2017-05-11 19:56:58,"As a penalty to employees that do not meet their daily quota at Kanji Damage, the finger poke them all the way to the end of the day until they do."
720,拾,"pick up",0,2017-03-24 18:03:31,"The pick-up truck picks up the bowling ball. Unfortunately, its fingers did not fit the hole. It chooses to throw the ball as a baseball and hit the old finger with it."
721,担,"shouldering",0,2017-02-08 12:01:36,"As Atlas once did, the old finger is shouldering the world. Just this time it's a challenge show for the record of shouldering the world until nightbreak"
722,拠,"foothold",0,2018-01-29 01:52:00,"Once you have a good foothold, you can *dispose* of your *finger*hold"
723,描,"sketch",0,2017-02-08 16:30:55,"A sketch is nailed to a small tree with the finger. A car walks by..."
724,操,"maneuver",0,2017-02-08 16:44:38,"A finger maneuvering through the heavy traffic of a street on a sofa."
725,接,"touch",0,2017-02-08 16:59:37,"The woman is touching herself in front of a vase, sucking the old finger and masturbating to get NDS"
726,掲,"put up a notice",0,2018-02-01 20:47:05,"The giant notice was put up and nailed to the tree with an old finger nailed besides the man taking a siesta. The notice says: No siestas allowed!
CONFUSED WITH POST A BILL"
727,掛,"hang",0,2017-02-09 02:12:06,"The finger comes back to it's house tired after a day of work, it hangs it's ivy coat by the wand coat rack at the entrace and proceeds to be moved to it's bed by a agic ivy vine."
728,捗,"make headway",0,2017-02-09 02:18:10,"To make headway to some endgoals, you sometimes need to walk on somone's fingers to  get there."
729,研,"polish",0,2018-01-25 19:25:16,"What do you use to make rock round and shiny? A bottle of liquid Polish and a telephone post to plane it.
PUT SEASHELL. REINFORCE STONE"
730,戒,"commandment",0,2017-02-09 02:40:50,"Moses was really drunk at the party; he even got on top of the telephone pole and started cursing the commandments."
731,弄,"tinker with",0,2017-02-09 02:50:35,"The king asks giant Tinker Knight to lift him up to tinker with the telephone pole. He gets electrocuted as soon as he starts to tinker with the pole."
732,械,"contraption",0,2017-02-09 02:53:09,"The weird contraption (elevator) has an even weirder decoration. A tree that gives commandments as fruit. Look! there's even a small pile besides the tree."
733,鼻,"nose/はな",0,2017-02-09 02:56:28,"An Egyptian embalmer reaching *both hands* with the help of a telephone pole into the dead pharaoh's #nose# and yanking out handfuls of *brain*."
734,刑,"punish",0,2017-02-09 15:27:32,"You missed a Falcon Punch, the punish was a big hit with a telephone post and a blow from a two hand saber."
735,型,"mould",0,2018-01-25 19:24:03,"How does Rampardos make the mould?
He grabs a lot of dirt with it's paws and shapes it into a block, makes the mould of a sword and proceeds to break the mould with a telephone pole.
FORGOT THE POLE"
736,才,"genius",0,2017-02-09 15:40:30,"Who did they award this year's nobel prize? Of course to the exhibisionist who was arrested, then he was discovered to a be a genius."
737,財,"property",0,2017-02-09 15:44:34,"This is my property! said the angry neighbour. Not realizing the incoming danger, a Nobel Prize crashed on it's giant shellfish destroying everything he had on his property."
738,材,"lumber",0,2018-01-29 16:49:49,"There was a special lumberjack on the mountain that had a peculiar way of taking trees down. He didn't use an axe to hack away at the tree, he used a giant nobel prize awarded to his grandfather the genius.
CONFUSED WIHT TIMBER WOOD"
739,存,"suppose",0,2017-02-09 16:02:40,"The molten nobel prize glass is smacked everytime the kid says ""I suppose"".
Finally at the end of the song, the glass gives in and breaks, spilling the molten gold and acid over the child."
740,在,"exist",0,2017-02-09 20:20:22,"Somewhere in this vast land, there exists a glass of molten gold under a lot of dirt. Whoever finds it will be bestowed with many gifts."
741,乃,"from",0,2017-02-09 20:27:00,"The FROM Software logo being punched by a robo fist."
742,携,"portable",0,2018-02-04 23:59:58,"Introducing the new mobile phone. The first thing to do is punch the turkey with the robo fist so i wakes up. Then, dial the number with the included old finger and finally speak to the included wired PSP.
ROBO FIST HAS AN EXTRA STROKE AT THE END"
743,及,"reach out",0,2017-02-10 17:53:41,"While falling down, the man reached out for help, finding a robo fist ready to rescue him."
744,吸,"suck",0,2018-01-26 19:30:57,"The poor old mother can't lift her arms higher than her waist so the poor baby has to reach out with his little hand and draw the nipple to his little mouth. How touching!
CONFUSED WITH SUCKLE"
745,扱,"handle",0,2018-01-25 18:29:21,"The poor captain lost all his fingers except one in the storm. The beautiful thing is that he survived by reaching out for a handle with just a single finger.
DEEPEN THE RIGHT ELEMENT"
746,丈,"length(大じょ夫)",0,2017-02-10 18:07:45,"Ana asked me about length. Being the gentleman I am, I flipped it out and put it over her."
747,史,"history",0,2017-02-10 18:17:40,"The demon history teacher is missing a hand, however he is quite good when scaring students as he has a mouth under his hand."
748,吏,"officer",0,2018-01-17 20:29:08,"The history professor was going insane with the homeworks and the classwork so one officer came through the door and stopped the madness.
THEY ARE ALL SO SAMEY!"
749,更,"grow late",0,2018-02-01 20:50:55,"As the night was falling and it was beggining to grow late, the terrible old man uncovered it's wrist and lit the way with a small sun under his arm.
PLEASE STUDY ALL OF THESE. THEY COULD BE LEECHES. ALSO ADDED AN EXTRA SUN"
750,硬,"stiff",0,2017-03-24 18:01:57,"Dwanye The rock Jonhson is being tortured by the old man with the sun below it's arm. He is slowly putting some rocks up his ... making the rock go stiff as they go deeper in."
751,梗,"spiny",0,2017-02-10 18:34:54,"The weird old man with the sun under his arm was taking a walk thorugh the forest. He suddenly misstepped and ended up rolling all the way down the crevice. When he finally came to a stop, his arm was impaled on the spiny tree."
752,又,"again/また",0,2017-02-10 18:37:31,"This keyword should really be ""again"" not ""or again"" Here is some context: think of the phrase ""Jya mata"" ""じゃ又"" which is a farewell similar to ""then again"". Also ""Mata ne"" ""又ね"" and mata ashita (again tomorrow) ""又明日""。 Note this kanji is rarely used, most of the time JP people spell it out ""mata"" except for in the last example: 又明日."
753,双,"pair(twin)",0,2017-02-10 18:40:55,"The animals boarding Noah's Ark all came in pairs – but Noah had to carefully check the two crotches in each pair to ensure that the animals were of different sexes and thus able to further their species after the flood."
754,桑,"mulberry",0,2017-02-13 16:42:54,"The mulberry is suddenly crushed by a giant baobab which hyas 3 giant penises growing as leafs atop."
755,隻,"vessels",0,2017-02-13 16:45:43,"A giant blood vessel is coming out of the small penis, to make it worse, there's a turkey sitting on top that applies pressure to the crotch."
756,護,"safeguard",0,2017-02-13 16:52:27,"The only place that survived the cut from the giant word sword was the safeguard room on the ship."
757,獲,"seize",0,2017-05-11 19:58:08,"Seize the means of production! said the marxist dog as they pack of wild dogs attacked the Greenpeace fowery vessel."
758,奴,"guy",0,2017-02-14 20:03:49,"That guy with the big crotch stole my woman."
759,怒,"angry",0,2017-02-14 20:10:51,"The guy stole my woman and then broke my heart. Of course the most obvious emotion to have is anger."
761,抜,"slip out",0,2017-02-14 20:22:22,"After a while in the hauted mansion at chapultepec, I finally get the final ingredient. The old finger, However, on our way out there, the finger starts slipping out of my pocket. My friend tells me and I put it back in with some tape."
762,投,"throw",0,2017-05-13 20:34:30,"When the little boy pressed the Z button in his Gamecube controller he was not aware that this wasn't the throw button but the launch button. The charactcr on screen did not react but several missiles were sent from the nuclear base in USA to North Korea."
763,没,"drown",0,2017-02-14 20:33:58,"The poor missile drowned besides the water at the pirate ship stage. Poor of him, he was just a dog."
764,股,"thigh/もも(あし)",0,2017-02-14 20:44:38,"My thighs are just missiles covered in flesh. And peach trees."
765,設,"establishment",0,2018-01-29 16:52:37,"This human estrablishment has a history. The elders slammed the ground with a word sword, after that, a missile fell on that and finally the humans started populating the area.
CONFUSED WITH STORE"
766,撃,"beat",0,2018-01-12 19:29:04,"A misisle crahed to the side of Beat's car, angered, he beats the misisle with a giant paw hurting the poor dog.
CONFUSED CHICHUAHUA WIHTH MISSILE"
767,殻,"husk",0,2017-02-15 14:57:25,"The wonder guard of shedinja doesn't actually come from itself. It comes from a samurai that make all missile attacks superfluous to them."
768,支,"branch",0,2017-02-15 15:01:05,"The samurai has a giant tree branch coming onut of his crotch."
769,技,"skill",0,2017-09-27 18:16:58,"When deadpool nearly died from falling from a building, he attributed his saving to the fact that he got Skillz but that wasnt true. When he was falling to the ground he called the developer to avoid his death, since the developer was throughly hurried over, he had to use what he had on hand at that time, so he built a mini ladder using branches, and when he ra out of those, he gave deadpool some rigid fingers so he could climb with those."
770,枝,"bough",0,2017-09-18 20:05:23,"The tree has fallen to the gorund and the main bough has come off. It lies on the floor, like a mini tree."
771,肢,"limb",0,2017-02-15 20:06:04,"What are the limbs of the trees?
Their flesh branches obviously."
772,茎,"stalk",0,2017-09-27 18:22:20,"The first time you get a school homewrok is getting to se aplant germinate from a seed. This is a special kind of stalk because its not shown on this dimension. What you can see form here is the toilet paper that was used as a substrate for the plant to grown and the flower on top of the plant. If you switch to the other dimension, you can see the stalk growing from nowhere and mysteriously dissapperaing midthrough"
773,怪,"suspicious",0,2017-02-15 20:37:11,"Albert Einstein arose suspicion when he stole the toilet papaer  from the shop"
774,軽,"lightly",0,2017-03-24 17:55:03,"Butterfly Effect. You push someone lightly back with the tip of your fingers. A car crashes into him yet he survives thanks to a pile of toilet paper nearby."
775,叔,"uncle",0,2017-02-15 20:46:44,"Oh come on people - say what we've all been thinking: the uncle is that creepy guy towering *above* a *little* one's *crotch*."
776,督,"coach",0,2017-02-15 20:51:30,"Uncle Efren is cheering his son eye from the sides besides his coach."
777,寂,"loneliness",0,2017-02-15 20:58:26,"My uncle, athought at his house, is in a state of real loneliness."
778,淑,"graceful",0,2017-02-16 15:40:50,"My uncle dances gracefully besides Milotic, he actually won the Slateport city contest."
779,反,"anti-",0,2017-02-16 15:47:44,"Anti-batman was chased to a cliff. Wanting to avoid capture, he jumps down and tries to fly, unfortunately, his wings don not open in time and he gets his crotch divided by a pole."
780,坂,"slope",0,2017-02-16 15:53:30,"A slope is soild that has the power of anti-gravity."
781,板,"plank",0,2017-02-16 15:57:35,"The trees anre marching down the street. they are anti-anti-planck."
782,返,"return",0,2017-02-16 16:03:44,"Anti-batman is running fown the road, fleeing formthe shadow that's chasing them, He arrives at the library and then returns the retun sign to the mailbox."
783,販,"marketing",0,2018-02-01 20:51:40,"How does the Marke magazine do it's marketing? A seashell vs anti-batman in an old style wild west scenario. Anti-Batman moves first and takes the seashell by surprise with a hit of his master weapon. The marke sign.
GET NORRIS OUT
ONLY THE SEASHELL MEMBERES"
784,爪,"claw",0,2017-02-17 17:19:12,"a pictograph of Wolverine's adamantium claws"
785,妥,"gentle",0,2017-12-19 01:30:43,"Wolverine must be gentle when has scratches a woman's back.
confused with person and melacholy"
786,乳,"milk",0,2017-02-17 17:33:38,"How is Strawberry milk made? It is fed milk through a small tube that connects to the corpse of the fledgling, as it passed through the deceased body, it get's painted pink, making it take it's characteristic color."
787,浮,"floating",0,2017-02-17 17:38:54,"The stupid bird made it's nest besides a river on a water lily. When one of the eggs hatches, the new fledgling seews a rubber ducky floating by. Thinking it is his mother, the fledgling decides to chase after the rubber duck and sinks in the process."
788,淫,"lewd",0,2017-02-17 17:51:47,"The PORTER is lewd like hell. If a female guest tries to enter the hotel, he throws himself on her like a VULTURE. Therefore it is highly recommended for the ladies to bring some cold WATER and pour it over him to cool him down."
789,将,"leader",0,2017-02-17 17:53:49,"The leader in this race is the *turtle*!  It appears he has covered the *vulture*’s feet in *glue*, so that the vulture cannot get off the starting block."
790,奨,"exhort",0,2017-02-17 18:07:27,"Archie and Maxie use St. Bernard dogs to exhort their minions to do the hard work at the hortalizas."
791,采,"grab",0,2017-02-17 18:13:25,"The giant vulture comes sweeping down, unearthens the poor tree and hit the dice with it."
792,採,"pick",0,2018-01-11 20:41:37,"You pick cheries with your *fingers*, then along comes a giant *vulture* and picks up the whole *tree* with its *claws*.
REMOVED FINGER"
793,菜,"vegetable",0,2017-02-17 18:25:23,"There's a new way of growing veggies at home. Grab some die, hollow them and put some soil and seeds on them. After a few days, you should have some fresh vegetable ready to eat. It even works with flowers!"
794,受,"receive (う.け)",0,2017-09-27 18:30:15,"CONFUSED WITH {授}
There are only two kinds of Uke in this world. The private uke, that reserves their holes only for the chosen penises, and the public Uke that will accept any kind of penis in their holes as if it were a whorehouse."
795,授,"impart",0,2017-09-27 18:36:58,"The teacher is imparting class. All of the kids in the back are talking so his patience depletes and he quiets down unitl they notice. When they do, they know that the teacher wont start imparting class again until he receives a finger from each of the students. After all, the teacher was a Yakuza boss once."
796,愛,"love",0,2018-01-11 20:23:23,"If you really love somebody, you'll open the body and let their heart flee the whorehouse with the tiny walking legs.
CONFUSED THE TOP PART WITH SOME MELANCHOLY ELEMENT AS HEAD."
797,曖,"unclear",0,2017-02-18 17:50:19,"the *sun*'s *love* is equivocal: it warms yet burns us"
798,払,"pay",0,2017-02-18 17:59:13,"I was about to pay for the soda can at the conveni when a strange man gave me a hard hit with hisw elbow and made me drop the finger. he just ran after that."
799,広,"wide",0,2017-02-18 18:04:14,"Dwayne The rock found a cave in the middles of a forest. The opening was really small, and he couldnt even put his finger in. He started hitting the cave with his elbow until he widened enough the openeing to get himself in."
800,勾,"hooked",0,2018-02-09 18:28:07,"Peter Pan tried to escape, but Hook hooked him by the *elbow* and *bound* him *up*
GOTTEN"
801,拡,"broaden",0,2017-02-18 19:59:06,"Japanese girls are tight and may require  *fingers* inserted to broaden them and make them *wide* enough before you can get the dough in."
802,鉱,"mineral",0,2018-01-29 16:46:56,"When you have a mine atop the mountains, be sure to put put all the extracted mineral in a pile outside. When you finish your days, don't forget to block the entrance with a giant piece of ore.
BLURRY MAKE IMAGERY STRONGER"
803,弁,"valve",0,2017-02-18 20:31:03,"Amidst the desert, there is a small telephone pole that bears enourous significance, on the top of it, there is a giant red valve. This valve is home to a million bats and vampires, when god accidentally open the valve with his elbow, the deluge began."
804,雄,"male",0,2017-10-09 20:33:04,"Males chokehold turkeys with their elbows"
805,台,"pedestal",0,2017-02-18 20:42:59,"As samus was exploring Brinstar, she found a strange pedestal. I was a depiction of two men, one in a screaming position and one with his elbow over the other's mouth. Pretty weird."
806,怠,"negligencia",0,2017-09-27 20:26:48,"La pena por negligencia medica es que ofrezacna tu corazon en el pedestal."
807,治,"reign",0,2017-02-18 21:58:13,"The reign of Atlantis' king ended when the water got to the magical pedestal and sunk the city."
808,冶,"metallurgy",0,2017-02-18 22:31:28,"The giant smith at Anor Londo has a special metallurgy  technique, he makes his weapons on the great socrates pedestal and throws them of the highest tower to a giant bucket of ice. That way he gets the best weapons around."
809,始,"start/はじめる",0,2017-02-18 22:34:16,"Many men, before they commence their relationship with the *woman* of their desires, place her on something of a *pedestal*, which often leads to disappointment later on."
810,胎,"womb",0,2017-02-18 22:39:48,"The Maya culture had a disgusting way of handling pregnant women. when they've finished giving birth, a knife is run from her breasts to the pubic area; the womb is extracted and put in a pile. When all of the week's wombs are collected, they are put on the pedestal for the ""Gods"" to enjoy."
811,窓,"window",0,2017-02-18 22:47:29,"The best show on all of WWE history. The house with legs has the Undertaker down, it climbs to the third rope and slams down with an elbow hit. Not having enough, the house grabs the Undertaker by his chest and takes out his heart, to add disrespect, he sparys the heart with a bottle of Windex and proceeds to clean it's windows with it."
812,去,"gone",0,2017-02-19 20:54:06,"""Going, going, GONE!"", said Dampé as he shoveled *soil* onto the body's protruding *elbow*."
813,法,"method",0,2017-02-19 20:59:47,"There's a special method for burying witches, first you Going Going Going Gone, then you grab a big bucket of Holy Water and dump it over the burial. The soil should liquify and the body should evaporate."
814,会,"meeting",0,2017-02-19 21:06:25,"A true meeting of the minds! Schrodingër, Huxley, Newton and the wall. All of them under an umbrella."
815,至,"climax",0,2017-02-19 21:09:25,"Two gangbangs. One is atop the berlin Wall, the other one is on the tunnels below. Both end simultaneously with a big loud climax."
816,室,"room",0,2017-02-19 21:14:23,"My bedroom got turned into quite the nightmare scene, The walls were bloodied and smeared with human organs, elbows were coming from the top, the place stank of death and urine, the most disturbing thing was the pie of dirt in the middles of which came a house."
817,到,"arrival",0,2017-02-19 21:22:47,"Just as we were going to have a climax, the father arrived in a bullet trains with a giant saber. He beheaded and quartered the poor guy."
818,致,"doth/どう(いた)しまして",0,2017-02-19 21:28:08,"The guys are about to have a climax atop the wall. Gitler comes by and starts spanking and whipping them, the only thing the poor couple can say is Sieg heil and どういたしまして"
819,互,"mutually",0,2017-02-19 22:49:39,"The 69 position allows both parties to mutually give themselves pleasure."
820,棄,"abandon",0,2018-01-12 19:46:59,"Think of a really loud and annoying baby, you want to abandon it but it keeps coming back...so you take of your belt by the buckle, and buckle the baby to a tree!
FUCKED UP STROKE ORDER. USED THE ALLOTING INFANT INSTEAD OF THE NORMAL ONE"
821,育,"bring up",0,2017-02-19 23:01:19,"How did I bring up my child? http://starecat.com/content/wp-content/uploads/education-is-easier-when-you-have-money-steps-made-of-cash.jpg

Instead of using money like in the picture, I used the flesh from our opponents."
822,撤,"remove",0,2017-09-27 20:40:14,"{徹}... when the hitler finishes, the crying infants remove Hitler's penis from their holes, inside this holes, Hitler has planted an unremovable seed in the shape of a finger that will in time grow and make the child another dictator."
823,充,"allot",0,2017-02-19 23:13:34,"The infant is a HHD on your machine, you decide to alocate some space from this, you make a partition on thi disk and the baby starts to grow some giant human egs. he breaks the case and then the ceiling before stopping."
824,銃,"gun",0,2017-02-19 23:19:49,"The *baby with gigantic legs*  has been quietly working on something in his crib. Turns out he's been shaping *metal* into a machine gun - and once he was finished, he shot his entire family! Imagine an infant with gigantic legs, in a top hat, with a machine gun, firing away."
825,硫,"sulfur",0,2017-02-20 20:43:58,"Moses is watching the apocalypse, he is to the right of the father with a big stone to his side. When the knights are gone, Moses reveals hsi secret weapon: a missile blaster full of sulfur."
826,流,"current",0,2017-02-21 19:27:43,"The woman is running formt he bad guys, she arrives at the river and lets moses go with the current and throws some blackcurrants as a lunch."
827,允,"license",0,2017-09-27 20:45:04,"Confused with {夋}
You need a #license# to show your *elbows* and *legs* in mid east countries."
828,唆,"tempt",0,2017-09-25 15:47:59,"Use {夋}
The snake tries to tempt Eve, unfortunately she already has other plans; she has an appointment with the giant mouth beneath the tree. Eve was always a prostitute."
829,出,"exit",0,2017-02-20 23:31:32,"Cactus"
830,山,"mountain/やま",0,2017-02-20 23:33:51,"It's a great idea to name this primitive differently according to positioning in other Kanji. In my case I will be using iconic mountains from video games: DEATH MOUNTAIN from The Legend of Zelda when it appears on top; ICICLE MOUNTAIN from Ice Climbers and Super Smash Bros. Melee when it appears on the left; and MT. Chimney from Pokémon Emerald when it appears below."
831,拙,"bungling",0,2017-02-20 23:42:00,"Here's a guy who's bungling his first experience with his hand up a girl's skirt and ends up with his fingers in the exit hole.  She yells: get out of my bung-hole!"
832,岩,"boulder",0,2017-02-20 23:45:38,"A giant boulder came down from Death mountain."
833,炭,"charcoal",0,2018-01-11 17:49:39,"If you grab a lot of charcoal and burn it all at once, mountain of Death Ash gets created.
GUESSED"
834,岐,"branch off",0,2017-12-01 19:34:27,"When going to Icicle Mountains, the road branches off. The corect path though is marked with some toilet paper.
NOT TOILET PAPER"
835,峠,"mountain pass",0,2017-02-21 00:00:54,"The MOUNTAIN PASS helps you go *up* and *down* the *mountain*"
836,崩,"crumble",0,2018-02-13 03:59:51,"The twin towers get hit by a rock going down the death mountain. At first they endure the blow, but then they start to crumble into a pile of crumbs.
GOTTEN"
837,密,"secrecy",0,2018-01-18 20:36:02,"The secrecy achieved by the occult is impressive. They built their house on the side of Mt. Chimney, they even put a severed leg as a warning to traspassers
PUT MOUNTAIN BELOW"
838,蜜,"honey",0,2017-02-21 16:13:57,"The bees have an habit of making their houses or hives atop trees. To avoid humans from taking their honey, they use a severed leg as a scareoff. The leg also serves as meeting point for insects."
839,嵐,"storm",0,2017-02-21 16:18:34,"The song of storms is learnt at the windmill on kakariko VIllage. The village is Mountain's afoot."
840,崎,"promontory",0,2017-09-29 19:31:35,"{岬}
A promontory is a piece of land that is bigger and higher than the land surrounding it

Basically a strange mountain"
841,崖,"bluffs",0,2018-01-26 19:34:59,"Standing at the base of the bluffs I announce, ""I'm going to climb those *ivy-covered cliffs*, and then the *mountain* on top of them."" My friends don't believe me, ""He bluffs!"" they say.
THE KWD IS NOT CLOSE TO THE MNNG"
842,入,"enter",0,2017-02-21 16:33:08,"Teepee"
843,込,"crowded",0,2017-10-06 19:48:43,"Even though it was crowded, the people that wanted to enter the teepee in the middle of the road were completely silent."
844,分,"part/ふん",0,2017-02-21 16:37:36,"In less than a minute, the pilgrims cut the teepees in half with their swords."
845,貧,"poverty",0,2017-02-21 19:41:45,"The civilians put all thei wealth on the sword tippi. When the evil seashell found out, it burned the tippi to the grounf with all the money in it, putting everybdy in a state of poverty"
846,頒,"partition",0,2017-02-21 19:43:02,"The PART of my HEAD where I remember the KANJI is in the kanji PARTITION."
847,公,"public/(こう)園",0,2017-02-21 19:50:45,"I always *enter* the doors to the public restrooms with my *elbows* because I don't want to touch the door with my hands."
848,松,"pine tree",0,2017-02-21 19:56:41,"Public restrooms always smell of cheap pine tree disinfectant. What you dont know is that the smell is actually made from a small pine tree grown at the base."
849,翁,"venerable old man",0,2017-02-23 17:14:45,"the venrable old man ins thebrepresnetative of th Native Americans. he gives out his speeches with his brautiful penacho in front of a public restroom."
850,訟,"sue",0,2017-02-23 17:17:30,"Not having gone to the loo in a while, you really have to go now. The door is closed and you cut it open with your word sword. Inside is Mary Sue, who instantly screams and gets you sued for indecency."
851,谷,"valley",0,2017-02-23 17:21:35,"Pictograph of a small house insede the valley of mexico. The two volcanoes are at the back."
852,浴,"bathe/あびる",0,2017-09-28 15:44:08,"Why is CDMX filled with water below? Because in ancient times, the lake that was here served as a container for the water that the devils below used to shower"
853,容,"contain",0,2017-02-23 17:27:57,"imagine a house big enough to contain an entire valley.  might want to live there.  And now imagine cleaning it. 
. . . Maybe not . . ."
854,溶,"melt",0,2017-03-24 18:06:29,"The city is surrounded by a strange mountain system. They have some gold snow at the top, when this snow melts, the gold gets converted to water and is collected in the containers in the houses below."
855,欲,"longing",0,2017-02-23 17:32:52,"The bound man outside the valley is really thirsty and longing for some water. He takes a long straw and tries to sip through it."
856,裕,"abundant",0,2017-02-23 17:37:58,"The extraterrestials have invaded the valley of mexico, as a trade for our lives, they ask for many cloaks. They use a structure similar to the abundant horn and tell the mexicans to fill it with the garments."
857,鉛,"lead (metal/pencil)",0,2017-02-23 17:44:18,"Picture the molten *lead* (the heavy *metal*) being discreetly drained out of the factory into a *gully* behind."
858,沿,"run alongside",0,2018-02-08 17:30:00,"When it rains, ironically the water does not get into the gully, it just moves to the side magically and runs alongside the hole.
CONFUSED WITH WATER AND NINJA"
859,賞,"prize",0,2018-02-02 19:21:10,"The seashell entered the lotto at the base of Lilycove City mall. It actually won a prize and was told to go to the back to receive it. Turns out they wanted to use the outhouse as a podium.
COMFUSED WITH YODA AND SHELL"
860,党,"party(Politics)",0,2017-02-24 18:42:01,"Every political party is full of shit. But nobody ever says how they get that way. Well, here's your answer - a political party memer is in the outhouse, greedily chowing down on the contents inside. He's grown so accustomed to the taste that he's in all the way, and all you can see are his legs through the window. He'll come inside later to the auditorium to make a speech and spew everything out."
861,堂,"hall",0,2017-02-24 18:47:32,"After getting to the hall of fame millions of times, Wallace decided to put a restrooom there. He grabbed a pile of soild and made a makeshift ramp to an outhouse above."
863,裳,"skirt",0,2017-02-27 20:42:39,"That outhouse has a special fee. in exchange for using it, you need to give one of your garments to the shredder thats in front of the door. That's how the girls-only school trip was ruined."
864,掌,"manipulate",0,2017-02-27 20:46:26,"The paw manipulates people into falling into the outhouse pit."
865,皮,"pelt",0,2017-02-27 20:50:07,"Tarzan used to hang his coon-skin PELT on a *branch* that had grown out over the edge of a *cliff*"
866,波,"waves(なみ)",0,2017-04-05 17:13:16,"waves are the ocean's pelt (skin)"
867,婆,"old woman/お(ばあ)さん",0,2017-02-27 20:58:56,"Grandma on her balcony, watching the *waves*, wondering if her husband will ever return from the sea."
868,披,"expose",0,2017-02-27 21:02:09,"A sharp old finger is used to skin a fox. The same old sharp bloody finger is used to expose the naked body of the woman using the fur coat."
869,破,"rend/tear",0,2017-02-28 16:27:03,"The process to make the blender logo. Grab a blender, put some fur and water on it, grate, and finally put it in the mould and smash it with a rock. When it gets out, the rock will be rended useless but youll have a nice blender logo."
870,被,"incur",0,2017-02-28 16:28:26,"A #cloak# of fur (#pelt#) will * incur* the wrath of animal lovers."
871,残,"remainder",0,2017-03-24 18:22:16,"The exam asked for the remainder of the division. Yet you failed this exam just because one thing; the death parade was going on at the time and could'nt let you see the result. It was the bone float specifically that blocked the result."
872,殉,"martyrdom",0,2017-02-28 16:44:27,"Marcioano was tortured for 10 days straight. After that decameron of pain, he was fed to the lions at the circe. The only thing that remained were bones."
873,殊,"particularly",0,2017-03-24 18:10:26,"The vermillion part on a T bone steak is particularly disgusting, with that, the baron threw the bone to the enormous oseum creature."
874,殖,"augment",0,2017-02-28 16:51:38,"When I caught the ten eyed fish in th AR games, instead of setting it free, I killed it with a bone straightaway."
875,列,"line",0,2018-01-12 19:24:49,"Before the entrance to the Grand Line, there lies a warrior that is surrounded by the bones of the people who tried to pass and died to his sword. He was hired by the marine so the number of pirates sailing inside the Grand Line decreased.
CONFUSED WITH SPIDERMAN AND SPRING"
876,裂,"split(not peel)",0,2017-10-05 20:09:48,"The only fruit that the Grand Line guardian eats are tangerines, he grabs one and cover it with cloth as to avoid the juices from coming into contact with the blade. With a swift move, he splits the tangerine cleanly in half"
877,烈,"ardent",0,2017-02-28 19:49:37,"Ardiente pasion rugia... dentro del corazon de los nazis.
Fieles creyentes de la raza aria.
En una fila frente a las llamas."
878,死,"death",0,2017-02-28 19:52:51,"Imagine the grim reaper (the bringer of death), carrying a *spoon* made of human *bones* instead of a scythe."
879,葬,"interment",0,2017-03-24 18:44:15,"Just as the last flower was put on Death's carcass, a plane passed by and with millimetric precission, threw a telephone pole from 30,000 ft. It got right in the hole and with that, Death's interment was complete."
880,瞬,"wink",0,2017-02-28 20:09:59,"At the *whorehouse* a girl pulled down her *sunglasses* and winked at me with a *single massive eye* OMG SHE'S A CYCLOPS. Didn't stop me though."
881,耳,"ear/みみ",0,2017-02-28 20:15:53,"Severed Blue ear."
882,取,"take",0,2017-02-28 20:20:57,"The magician askd for a male voulunteer. When he goes on stage, he takes his crotch out of the volunteer's ear. He ends the trick cutting it out with the take thingy."
883,趣,"gist",0,2017-02-28 20:21:27,"The gist of my hobbies (趣味)? I like to *run* 走 in the morning and to *take* 取 pictures of everything."
884,最,"utmost",0,2017-02-28 20:24:47,"TAKE the UTMOST care when you SUN bath all DAY, or you'll get burned from your EARS to your CROTCH."
885,撮,"snapshot",0,2017-02-28 20:39:11,"Take the *utmost* care that you don't have your *finger* in the way when you take a snapshot."
886,恥,"shame",0,2018-02-06 17:47:33,"Vincent Van Gogh's greatest shame was cutting off his *ear* to win the *heart* of a woman.
GOTTEN. USE HAZUKASHI TO MAKE IT WORK. STORY ABOUT SHAMEFUL HEART SIDE SURFACES"
887,職,"job",0,2018-01-26 19:00:36,"That man seems to have a nice normal job, yet he doesn't. He actually works at a kazoo factory as QA, they blow one thousand kazoos on his ears for days. Poor of him, that's one of the worst jobs in existance.
CAREFUL WITH WEAVE. 
REMMEBERED THE PROFET INSTEAD OF THE WORK."
888,聖,"holy",0,2017-03-01 20:35:00,"The holy hand grenade is presented to the king in his court. It it dragged in a small car and has a human ear attached to it with a tiny mouth at the front."
889,敢,"daring",0,2017-03-01 20:39:10,"The most daring of the Faction is actualy Hitler who does not only jump out of the train but nails the blue ear to the ground with a mallet."
890,聴,"listen",0,2017-03-01 20:44:28,"Hey Listen!  Said Navi as a needle was being driven into one of link's eyes and his heart being gouged out."
